,train,cv_mean,cv_std,num_features,C,ngram_lens,suffix_lens,prefix_lens,feature_selection,hyperparams
0,89.0,86.978,2.97821,300,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
1,89.417,87.206,3.07157,300,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
2,89.583,87.1,3.01735,300,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
3,90.0,87.022,2.92739,300,0.5,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
4,90.333,86.911,2.91334,300,0.6,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
5,90.583,86.744,3.01368,300,0.7,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
6,90.833,86.672,3.01391,300,0.8,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
7,90.583,86.578,2.9854,300,0.9,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 300, 'C': 0.9, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
8,89.917,87.056,2.89749,400,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
9,90.167,86.95,3.02369,400,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
