,train,cv_mean,cv_std,num_features,C,ngram_lens,suffix_lens,prefix_lens,feature_selection,hyperparams
10,90.667,86.772,3.06269,400,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
11,90.75,86.5,3.02087,400,0.5,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
12,91.167,86.394,3.10981,400,0.6,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
13,91.417,86.344,3.06648,400,0.7,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
14,91.5,86.283,3.07989,400,0.8,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
15,91.667,86.139,3.18228,400,0.9,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 400, 'C': 0.9, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
16,90.0,87.0,2.99608,500,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
17,90.5,86.9,2.98692,500,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
18,90.833,86.739,3.11047,500,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
19,91.417,86.511,3.03532,500,0.5,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
20,91.75,86.294,3.09635,500,0.6,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
21,92.0,86.078,3.17221,500,0.7,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
22,92.25,86.0,3.12551,500,0.8,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
23,92.417,85.817,3.16179,500,0.9,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 500, 'C': 0.9, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
24,90.5,86.628,3.13643,600,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
25,90.833,86.506,3.134,600,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
26,91.25,86.278,3.20745,600,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
27,91.75,86.006,3.16154,600,0.5,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
28,92.167,85.694,3.24034,600,0.6,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
29,92.417,85.567,3.26313,600,0.7,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
30,92.667,85.361,3.20999,600,0.8,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
31,92.833,85.333,3.28261,600,0.9,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 600, 'C': 0.9, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
32,90.833,86.567,3.17862,700,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
33,91.25,86.4,3.06273,700,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
34,92.083,86.289,3.19569,700,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
35,92.25,85.9,3.11583,700,0.5,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
36,92.417,85.622,3.20239,700,0.6,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
37,92.5,85.494,3.21823,700,0.7,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
38,92.75,85.356,3.21714,700,0.8,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
39,93.083,85.283,3.25528,700,0.9,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 700, 'C': 0.9, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
40,91.25,86.583,3.1563,800,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
41,91.75,86.4,3.1245,800,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
42,92.333,86.2,3.11278,800,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
43,92.667,85.889,3.20017,800,0.5,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
44,93.0,85.639,3.17201,800,0.6,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
45,93.333,85.533,3.20543,800,0.7,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
46,93.333,85.422,3.24081,800,0.8,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
47,93.333,85.244,3.27771,800,0.9,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 800, 'C': 0.9, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
48,91.5,86.533,3.073,900,0.2,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.2, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
49,92.25,86.333,3.23686,900,0.3,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.3, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
50,92.583,86.172,3.25852,900,0.4,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.4, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
51,92.75,85.978,3.21917,900,0.5,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
52,93.083,85.783,3.16144,900,0.6,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.6, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
53,93.417,85.644,3.20524,900,0.7,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.7, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
54,93.583,85.444,3.2335,900,0.8,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.8, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
55,93.5,85.289,3.26979,900,0.9,"range(1, 11)","range(1, 6)","range(1, 6)",entropy,"{'num_features': 900, 'C': 0.9, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6), 'feature_selection': 'entropy'}"
