,cv,num_features,C,ngram_lens,suffix_lens,prefix_lens,hyperparams
0,86.361,900,0.25,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 900, 'C': 0.25, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
1,86.317,900,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 900, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
2,86.272,900,0.75,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 900, 'C': 0.75, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
3,86.419,1000,0.25,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 1000, 'C': 0.25, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
4,86.378,1000,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 1000, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
5,86.233,1000,0.75,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 1000, 'C': 0.75, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
6,86.428,1100,0.25,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 1100, 'C': 0.25, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
7,86.428,1100,0.5,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 1100, 'C': 0.5, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
8,86.217,1100,0.75,"range(1, 11)","range(1, 6)","range(1, 6)","{'num_features': 1100, 'C': 0.75, 'ngram_lens': range(1, 11), 'suffix_lens': range(1, 6), 'prefix_lens': range(1, 6)}"
